id	code	name	rufname	rasse	geschlecht	geburtsdatum	gewicht_kg	groesse_cm	kunden_id	trainingsziele	notizen	felltyp	kastriert	fellfarbe	groesse_typ	herkunft	chip_nummer	created_at	updated_at	schema_version	version	status
019b6fbf-c2b8-7e87-9d65-b0f139b6083a	DT-52	Dylan v.Trajectum ad mosam	Dylan	Holl. Schäferhund Langhaar	Rüde	2010-06-12	0.00	NULL	019b6f8b-fc43-7f7a-9a23-a31fda684482			langhaar	0	gold gestromt		züchter			2026-01-13T12:28:06.182Z	1	0	verstorben
019b6fbf-c2b8-7f09-885a-6a9eb6da80f8	DT-129	Leika	Leika	Zwergpudel	W		0.00	NULL	019b6f8b-fc48-7c07-bc18-cea89e3ceb82				1	grau		Hund				1	0	
019b6fbf-c2b8-7f16-8d93-696b111e9651	DT-136	Cherry	Cherry	Havaneser	M	2011-09-19	0.00	NULL	019b6f8b-fc48-7c7c-9e9e-f8e6ed643a40			langhaar	NULL	weiss		Hund	276093400218194			1	0	
019b6fbf-c2b8-7f29-b7be-4a47f5ff12c0	DT-110	Daisy	Daisy	Staffordshire Bullterrier	W	2010-03-01	0.00	NULL	019b6f8b-fc48-7d13-985b-90f2bc0a8446				NULL			Hund				1	0	
019b6fbf-c2b8-7f2e-bbf1-0266fff9f92b	DT-57	Rocky	Rocky	Bordercollie x Appenzeller	M	2010-03-22	0.00	NULL	019b6f8b-fc48-79d8-b583-8e3cc8c7d43a				NULL			Hund				1	0	
019b6fbf-c2b8-7f33-9007-8d6bbc9a8c7a	DT-55	Indiana Jones	Indy	Norwich Terrier	M	2010-08-15	0.00	NULL	019b6f8b-fc48-791f-86ca-081116cfe7c8				NULL			Hund				1	0	
019b6fbf-c2b8-7f5b-877e-38d883704fd2	DT-133	Roxy	Roxy	Labrador x Husky Mix	W	2005-03-04	0.00	NULL	019b6f8b-fc48-74cf-83c4-d92151370136			kurzhaar	NULL	schwarz weisse Abzeichen		Hund	756 097 200 014 236			1	0	
019b6fbf-c2b8-7f99-881f-dd5c4163c99d	DT-149	Sheela	Sheela	Yorkshire Terrier	W	2008-08-11	0.00	NULL	019b6f8b-fc47-707f-b2ba-b08ae31162fa			langhaar	NULL	black & tan		Hund	756097200088731			1	0	
019b6fbf-c2b8-7f9c-b708-a07c3b534ca4	DT-53	Bobby	Bobby	Beagle	M	2010-05-22	0.00	NULL	019b6f8b-fc48-7a2e-8320-bd4b516e1e95				NULL			Hund				1	0	
019b6fbf-c2b8-7fa0-b35c-191b72dfdc90	DT-134	Sira	Sira	Border Collie	W	2011-10-26	0.00	NULL	019b6f8b-fc48-7cac-89dc-8e6a92b8deb1			halblanghaar	0	schwarz weisse Abzeichen		Hund	756 098 100 542 447			1	0	
019b6fbf-c2b8-7fa9-8721-42903a02a212	DT-100	Ronaldo	Roni	Labrador	M	1999-10-07	0.00	NULL	019b6f8b-fc48-77ac-8a62-5e9484f5bb16				NULL			Hund				1	0	
019b6fbf-c2b8-7fcd-8dc6-894446c60477	DT-147	Emmy	Emmy	Westi x Yorky Mischling	W	2011-06-28	0.00	NULL	019b6f8b-fc48-7293-97fe-e47da8769f90			langhaar	NULL	braun mit Brand		Hund	756097200147305			1	0	
019b6fbf-c2b8-7ff1-86c7-27964de7fab9	DT-59	Popy	Popy	Yorkshire Terrier	W	2009-11-03	0.00	NULL	019b6f8b-fc43-7bd6-8690-29300793d432		17.08.2011 such: Hat anfänglich nur gekläfft, weil keine Führung. Am Sonntagsplausch sehr ängstlich.Nun sehr freudiger, aufgestellter lustiger Hund, der mit allen spielt, egal welche Grösse.		NULL			Hund				1	0	
019b6fbf-c2b8-7ff7-a084-37b6e8be4132	DT-54	Aaron	Aaron	Labrador Mix	M	2011-02-19	0.00	NULL	019b6f8b-fc48-7e3d-82b9-4a2710495a9f				NULL			Hund				1	0	
019b6fbf-c2b9-7017-88c5-949155f20c33	DT-173	Bianca	Bianca	Chihuahua langhaariger Schlag	W	2010-02-01	0.00	NULL	019b6f8b-fc48-7e96-8835-9c7d8963aa8f			langhaar	0	weiss		Hund	756098100406305			1	0	
019b6fbf-c2b9-7023-8443-1f46f8a4ad7f	DT-178	Daniels	Daniels	Altdeutscher Schäferhund	M	2011-11-11	0.00	NULL	019b6f8b-fc48-7fcc-89a6-29023d6539f9			langhaar	0	Braun schwarz		Hund				1	0	
019b6fbf-c2b9-703e-b363-1b7191ce4730	DT-228	Luna	Luna	Appenzeller Mix	W	2012-05-27	0.00	NULL	019b6f8b-fc48-70bc-9ba1-70a045b1cef7			kurzhaar	0	schwarz-braun-weiss		Hund	756093900000260			1	0	
019b6fbf-c2b9-7049-93e3-f64b4c983df3	DT-300	Louis	Louis	Labrador Retriever	M	2006-07-01	0.00	NULL	019b6f8b-fc49-7af6-afb0-2ee86e586854			kurzhaar	NULL	schwarz		Hund				1	0	
019b6fbf-c2b9-7053-8e0c-72373b30d55b	DT-330	Tessy	Tessy	Airedale Terrier	W	2009-04-28	0.00	NULL	019b6f8b-fc49-7f90-b5cb-81b636dd8403			lockig-gekraust	NULL			Hund	276098102701659			1	0	
019b6fbf-c2b9-705d-8575-701557e7f0b9	DT-319	Mäx	Mäx	Beagle	M	2004-07-29	0.00	NULL	019b6f8b-fc49-7519-9877-9d3355a88e7f			kurzhaar	NULL	braun mit Brand		Hund	756097200088253			1	0	
019b6fbf-c2b9-7072-84d1-70027e999c57	DT-313	Nirco	Mirco	Schweizer Sennenhund Mix	M	2012-07-23	0.00	NULL	019b6f8b-fc49-78f9-b541-57af4c410729				NULL			Hund	756098500072045			1	0	
